Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
anua-heartleaf-77-soothing-toner,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/Anua-Heartleaf-77-SoothingToner1-40ml-oo35mm.webp?v=1788159550,5,טונר Heartleaf 77 של ANUA – תמונה 5,,,,
anua-heartleaf-77-soothing-toner,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/thumb-500_405x405_ac6a5e6a-a887-4be8-b430-6bddb7bf8c90.jpg?v=1788159551,6,טונר Heartleaf 77 של ANUA – תמונה 6,,,,
anua-niacinamide-10-txa-4-dark-spot-correcting-serum,סרום ניאצינאמיד 10% + TXA 4% למראה כתמים,"<div dir=""rtl"" style=""text-align:right;line-height:1.75;"">
<p><strong>סרום קליל עם 10% ניאצינאמיד ו־4% חומצה טרנקסמית (TXA), המיועד לטיפוח מראה כתמים, סימנים לאחר פצעונים וגוון עור לא אחיד.</strong></p>
<h3>מה חשוב לדעת</h3>
<ul>
<li>10% ניאצינאמיד</li>
<li>4% Tranexamic Acid (TXA)</li>
<li>מכיל גם Arbutin, סרמידים וחומצה היאלורונית</li>
<li>מרקם מימי וקליל לשימוש יומיומי</li>
</ul>
<p><strong>כמות / גודל:</strong> 30 מ״ל</p>
<h3>איך משתמשים</h3>
<p>מרחי כמה טיפות על האזורים הרצויים והגדילי את תדירות השימוש בהדרגה. לפי הוראות היצרן ניתן להשתמש בבוקר ובערב לפני שמנים וקרם לחות. בבוקר יש להשלים עם SPF30 ומעלה.</p>
<p style=""font-size:0.92em;color:#666;""><strong>הערה:</strong> יש לעיין בהוראות ובאזהרות היצרן לפני השימוש.</p>
<h2>למי המוצר מתאים</h2>
<p>לעור שנראה עמום או לא אחיד ולמי שרוצה להוסיף לשגרה שלב ממוקד לזוהר, לחות ומראה רענן יותר.</p>
<h2>המקום שלו בשגרת K-Beauty</h2>
<p>אחרי ניקוי וטונר ולפני קרם לחות. מתחילים בכמות קטנה ומאפשרים למוצר להיספג לפני השלב הבא.</p>
<p><strong>טיפ קטן:</strong> אם זו הפעם הראשונה שלך עם רכיבים פעילים, התחילי בהדרגה ואל תעמיסי כמה מוצרים פעילים חדשים באותו ערב.</p>
<h2>שאלות נפוצות</h2>
<h3>באיזה שלב משתמשים במוצר?</h3>
<p>אחרי ניקוי וטונר ולפני קרם לחות. מתחילים בכמות קטנה ומאפשרים למוצר להיספג לפני השלב הבא.</p>
<h3>האם אפשר לשלב אותו בשגרה קיימת?</h3>
<p>כן. מומלץ להוסיף מוצר חדש אחד בכל פעם, לבצע בדיקת רגישות ולהתאים את תדירות השימוש לתחושת העור ולהוראות שעל האריזה.</p>
<p style=""font-size:0.92em;color:#666;"">זהו מוצר קוסמטי ואינו מיועד לאבחן או לטפל במצב רפואי. רשימת הרכיבים והוראות היצרן שעל האריזה הן הקובעות.</p>
</div>",ANUA,Skin Care,Serum,"ANUA, K-Beauty, K-Beauty: Glow, Korean Beauty, Shopify Collective",TRUE,Title,Default Title,,,,,Shopify-8809640734526,227,shopify,0,deny,manual,99.90,,TRUE,TRUE,8809640734526,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/anua-niacinamide-10-txa-4-dark-spot-correcting-serum-tiger-catalog.webp?v=1788178954,1,סרום ניאצינאמיד 10% + TXA 4% למראה כתמים של ANUA,FALSE,סרום ניאצינאמיד 10% + TXA 4% למראה כתמים | ANUA,"סרום קליל עם 10% ניאצינאמיד ו־4% חומצה טרנקסמית (TXA), המיועד לטיפוח מראה כתמים, סימנים לאחר פצעונים וגוון עור לא אחיד. מחיר בישראל ומשלוח לכל הארץ.",active
anua-niacinamide-10-txa-4-dark-spot-correcting-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/anua-ampoule-serum-30ml-niacinamide-10-txa-4-serum-45891552149782.webp?v=1788159619,2,סרום ניאצינאמיד ו-TXA של ANUA – תמונה 2,,,,
anua-niacinamide-10-txa-4-dark-spot-correcting-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/anua-ampoule-serum-30ml-niacinamide-10-txa-4-dark-spot-correcting-serum-44293013897494.jpg?v=1788159619,3,סרום ניאצינאמיד ו-TXA של ANUA – תמונה 3,,,,
anua-niacinamide-10-txa-4-dark-spot-correcting-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/anua-ampoule-serum-30ml-niacinamide-10-txa-4-dark-spot-correcting-serum-44293013700886.jpg?v=1788159619,4,סרום ניאצינאמיד ו-TXA של ANUA – תמונה 4,,,,
anua-niacinamide-10-txa-4-dark-spot-correcting-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/anua-ampoule-serum-30ml-niacinamide-10-txa-4-serum-1130199718.jpg?v=1788159619,5,סרום ניאצינאמיד ו-TXA של ANUA – תמונה 5,,,,
anua-niacinamide-10-txa-4-dark-spot-correcting-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/anua-ampoule-serum-30ml-niacinamide-10-txa-4-serum-1130199715.jpg?v=1788159619,6,סרום ניאצינאמיד ו-TXA של ANUA – תמונה 6,,,,
anua-niacinamide-10-txa-4-dark-spot-correcting-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/anua-ampoule-serum-30ml-niacinamide-10-txa-4-serum-1130199716.jpg?v=1788159619,7,סרום ניאצינאמיד ו-TXA של ANUA – תמונה 7,,,,
anua-heartleaf-pore-control-cleansing-oil,שמן ניקוי Heartleaf Pore Control,"<div dir=""rtl"" style=""text-align:right;line-height:1.75;"">
<p><strong>שמן ניקוי קליל ולא קומדוגני לפי נתוני היצרן, עם שמנים צמחיים ותמצית Heartleaf, להסרת איפור, שומן ולכלוך תוך שמירה על תחושת לחות.</strong></p>
<h3>מה חשוב לדעת</h3>
<ul>
<li>שמנים ממקור צמחי, כולל חוחובה, זית וזרעי ענבים</li>
<li>תמצית Heartleaf</li>
<li>מתחלב במגע עם מים</li>
<li>מתאים לעור נוטה לפצעונים לפי נתוני היצרן</li>
</ul>
<p><strong>כמות / גודל:</strong> 200 מ״ל / קיימת גם גרסת 20 מ״ל בהתאם למלאי</p>
<h3>איך משתמשים</h3>
<p>על עור יבש, עסי את השמן בעדינות. הוסיפי מעט מים ליצירת אמולסיה ושטפי היטב במים פושרים.</p>
<p style=""font-size:0.92em;color:#666;""><strong>הערה:</strong> עיצוב האריזה עשוי להשתנות ללא הודעה מוקדמת.</p>
<h2>למי המוצר מתאים</h2>
<p>למי שרוצה להסיר איפור, מסנן קרינה ולכלוך בסוף היום בלי להפוך את שלב הניקוי לאגרסיבי או מסורבל.</p>
<h2>המקום שלו בשגרת K-Beauty</h2>
<p>בשלב הראשון של שגרת הערב: מעסים על עור יבש, מוסיפים מעט מים ליצירת תחליב ושוטפים היטב. אפשר להמשיך לניקוי עדין על בסיס מים.</p>

<h2>שאלות נפוצות</h2>
<h3>באיזה שלב משתמשים במוצר?</h3>
<p>בשלב הראשון של שגרת הערב: מעסים על עור יבש, מוסיפים מעט מים ליצירת תחליב ושוטפים היטב. אפשר להמשיך לניקוי עדין על בסיס מים.</p>
<h3>האם אפשר לשלב אותו בשגרה קיימת?</h3>
<p>כן. מומלץ להוסיף מוצר חדש אחד בכל פעם, לבצע בדיקת רגישות ולהתאים את תדירות השימוש לתחושת העור ולהוראות שעל האריזה.</p>
<p style=""font-size:0.92em;color:#666;"">זהו מוצר קוסמטי ואינו מיועד לאבחן או לטפל במצב רפואי. רשימת הרכיבים והוראות היצרן שעל האריזה הן הקובעות.</p>
</div>",ANUA,Skin Care,Cleansing Oil,"ANUA, K-Beauty, K-Beauty: Cleanse, Korean Beauty, Shopify Collective",TRUE,Size,200ml,,,,,Shopify-8809640732829,340,shopify,0,deny,manual,89.90,,TRUE,TRUE,8809640732829,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/anua-heartleaf-pore-control-cleansing-oil-tiger-catalog.webp?v=1788178966,1,שמן ניקוי Heartleaf Pore Control של ANUA,FALSE,שמן ניקוי Heartleaf Pore Control | ANUA,"שמן ניקוי קליל ולא קומדוגני לפי נתוני היצרן, עם שמנים צמחיים ותמצית Heartleaf, להסרת איפור, שומן ולכלוך תוך שמירה על תחושת לחות. מחיר בישראל ומשלוח לכל הארץ.",active
anua-heartleaf-pore-control-cleansing-oil,,,,,,,,Size,20ml,,,,,Shopify-8809640734496,113,shopify,0,deny,manual,29.90,,TRUE,TRUE,8809640734496,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/photo_80_1000x_57f8ae1c-5800-4c4a-ad90-38fd8217d70c.png?v=1788159542,2,שמן ניקוי Heartleaf Pore Control של ANUA – תמונה 2,,,,
anua-heartleaf-pore-control-cleansing-oil,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/ANUA_heartleaf_pore_control_cleansing_oil_2_700x700__88129.1690545799.jpg?v=1788159542,3,שמן ניקוי Heartleaf Pore Control של ANUA – תמונה 3,,,,
anua-heartleaf-pore-control-cleansing-oil,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/ANUA_heartleaf_pore_control_cleansing_oil_1_700x700__80443.1690545800.jpg?v=1788159542,4,שמן ניקוי Heartleaf Pore Control של ANUA – תמונה 4,,,,
anua-heartleaf-pore-control-cleansing-oil,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/unnamed.webp?v=1788159542,5,שמן ניקוי Heartleaf Pore Control של ANUA – תמונה 5,,,,
seapuri-scalpy-hair-serum,Seapuri Scalpy Hair Serum,"<p><strong>Product Description:</strong></p>
<ul></ul>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Clinically tested to reactivate dormant follicles, reverse thinning, and prevent hair loss for thicker, fuller hair.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Fast-absorbing formula that instantly cools down the scalp and soothes the follicles without leaving a greasy residue. Maintains the hair volume without weighing down the roots.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">A metal-ball massaging applicator delivers the formula directly to the roots, boosting blood flow and ensuring deep penetration, hence better results.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Perfect for both men and women with any hair or scalp types. Use daily for best results and experience stronger, thicker, and healthier hair over time.</span></li>
</ul>
<p><strong><span style=""color: #404040;"">Size:<span> </span></span></strong><span style=""color: #404040;"">20ml</span></p>
<p><span style=""color: #404040;""><strong>How To Use:</strong> </span></p>
<ol>
<li>Shake well before use</li>
<li>Apply directly to the scalp daily using the roller ball applicator in a gentle, rolling motion</li>
<li>Gently tap with your fingertips to absorb any excess product</li>
</ol>
<p><span style=""color: #404040;""><strong>Note:</strong><span> </span>The package design is subject to change without notice</span></p>
<p><span style=""color: #404040;""><strong>UPC</strong>: 8809934860870</span></p>",AsiaBeautyMall,Hair Care,Hair Treatment,"AsiaBeautyMall, Shopify Collective",FALSE,Title,Default Title,,,,,Shopify-8809934860870,113,shopify,0,deny,manual,58.05,84.06,TRUE,TRUE,8809934860870,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/61Eqi9PE5RL._SL1500.jpg?v=1788190886,1,,FALSE,,,draft
seapuri-scalpy-hair-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/61QnAPHuyFL._SL1500.jpg?v=1788190886,2,,,,,
seapuri-scalpy-hair-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/61scZqi-oHL._SL1500.jpg?v=1788190886,3,,,,,
seapuri-scalpy-hair-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/71IJXl4QBiL._SL1500.jpg?v=1788190886,4,,,,,
seapuri-scalpy-hair-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/71cm5aK3yaL._SL1500.jpg?v=1788190886,5,,,,,
seapuri-scalpy-hair-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/81Mq0cFiY0L._SL1500.jpg?v=1788190886,6,,,,,
beauty-of-joseon-ground-rice-and-honey-glow-mask,"מסיכת זוהר אורז ודבש לפנים - Beauty of Joseon (150 מ""ל)","<div dir=""rtl"" style=""text-align: right; direction: rtl; font-family: inherit; line-height: 1.7; color: #1f2937;"">
  <p style=""font-size: 16px; margin-bottom: 16px;"">
    <strong>מסיכת שטיפה קלינית להזנה אינטנסיבית, טיהור נקבוביות וחידוש זוהר העור.</strong>
  </p>

  <p style=""margin-bottom: 16px;"">
    מסיכת הפנים של Beauty of Joseon משלבת את רפואת הצמחים הקוריאנית המסורתית (Hanbang) עם טכנולוגיית טיפוח מודרנית. הפורמולה מבוססת על תמציות יין אורז מותסס (Makgeolli), <strong>5% דבש טבעי מרוכז</strong>, חימר קאולין טהור ואבקת קליפת אורז דקיקה. השילוב מעניק טיפול מקיף: ניקוי עמוק של עודפי סבום, פילינג עדין להסרת תאים מתים והזנת לחות עשירה ללא תחושת מתיחה או יובש.
  </p>

  <h3 style=""font-size: 16px; font-weight: 700; color: #111827; margin-top: 24px; margin-bottom: 12px; border-bottom: 1px solid #e5e7eb; padding-bottom: 6px;"">
    יתרונות מרכזיים:
  </h3>
  <ul style=""padding-right: 20px; margin-bottom: 20px;"">
    <li style=""margin-bottom: 8px;"">
<strong>טיהור נקבוביות ואיזון שומן:</strong> חימר קאולין סופח עודפי שומן ומנקה לכלוך עמוק מבלי לייבש את מחסום ההגנה של העור.</li>
    <li style=""margin-bottom: 8px;"">
<strong>פילינג עדין וטבעי:</strong> אבקת קליפת אורז מיקרוסקופית מלטשת את העור בעדינות ומשפרת את המרקם ללא גירויים.</li>
    <li style=""margin-bottom: 8px;"">
<strong>הזנה והרגעת אדמומיות:</strong> 5% דבש טבעי עשיר באנטיאוקסידנטים מסייע בהרגעת עור מגורה והפחתת פגמים.</li>
    <li style=""margin-bottom: 8px;"">
<strong>הבהרה ואחידות:</strong> רכיבי האורז המותסס מעודדים חידוש תאי ומעניקים לעור מראה רענן, חלק וקורן.</li>
  </ul>

  <h3 style=""font-size: 16px; font-weight: 700; color: #111827; margin-top: 24px; margin-bottom: 12px; border-bottom: 1px solid #e5e7eb; padding-bottom: 6px;"">
    רכיבים פעילים:
  </h3>
  <ul style=""padding-right: 20px; margin-bottom: 20px;"">
    <li style=""margin-bottom: 8px;"">
<strong>תמצית יין אורז מותסס (Makgeolli Lees):</strong> עשירה בחומצות אמינו, ויטמינים ומינרלים לחיזוק גמישות העור.</li>
    <li style=""margin-bottom: 8px;"">
<strong>5% דבש טבעי (Honey):</strong> מרכיב אנטי-דלקתי ואנטי-בקטריאלי המעניק לחות מתמשכת.</li>
    <li style=""margin-bottom: 8px;"">
<strong>חימר קאולין (Kaolin Clay):</strong> סופח שומן ומצמצם נראות נקבוביות.</li>
    <li style=""margin-bottom: 8px;"">
<strong>אבקת קליפת אורז (Rice Hull Powder):</strong> מסירה תאים מתים ומחליקה את פני העור.</li>
  </ul>

  <h3 style=""font-size: 16px; font-weight: 700; color: #111827; margin-top: 24px; margin-bottom: 12px; border-bottom: 1px solid #e5e7eb; padding-bottom: 6px;"">
    הוראות שימוש:
  </h3>
  <ol style=""padding-right: 20px; margin-bottom: 20px;"">
    <li style=""margin-bottom: 8px;"">לאחר ניקוי הפנים, מרחי שכבה אחידה על עור פנים נקי ויבש (הימנעי מאזור העיניים והשפתיים).</li>
    <li style=""margin-bottom: 8px;"">השאירי את המסיכה לפעול במשך 10–15 דקות.</li>
    <li style=""margin-bottom: 8px;"">עסי בעדינות בתנועות מעגליות עם מים פושרים לשטיפה מלאה ופילינג עדין, וייבשי בעדינות.</li>
  </ol>

  <p style=""font-size: 14px; color: #6b7280; margin-top: 20px; border-top: 1px solid #f3f4f6; padding-top: 12px;"">
    <strong>תכולה:</strong> 150 מ""ל (גודל מלא) | <strong>מתאים לכל סוגי העור</strong>, כולל עור רגיש ועור מעורב הנוטה לפגמים.
  </p>
</div>",AsiaBeautyMall,Skin Care,Face Mask,"AsiaBeautyMall, Shopify Collective",TRUE,Title,Default Title,,,,,Shopify-8809968130246,340,shopify,0,deny,manual,33.59,55.02,TRUE,TRUE,8809968130246,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/71n49rwzEZL._SL1500.jpg?v=1770414346,1,מסכת אורז ודבש לפנים של Beauty of Joseon,FALSE,מסכת אורז ודבש לפנים | Beauty of Joseon,"מסכת שטיפה Beauty of Joseon עם אורז, דבש וחימר קאולין לטיפוח, ניקוי ולחות. 150 מ״ל, מתאימה לשגרת טיפוח ביתית.",active
beauty-of-joseon-ground-rice-and-honey-glow-mask,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/GroundRiceMaskThumb_0000_LayerComp1.jpg?v=1770414346,2,מסכת אורז ודבש של Beauty of Joseon – תמונה 2,,,,
beauty-of-joseon-ground-rice-and-honey-glow-mask,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/GroundRiceMaskThumb_0003_LayerComp4.jpg?v=1770414346,3,מסכת אורז ודבש של Beauty of Joseon – תמונה 3,,,,
beauty-of-joseon-ground-rice-and-honey-glow-mask,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/texture_0001_LayerComp2_1ebafa5d-897a-4858-a39f-6099d762dfa5.jpg?v=1770414346,4,מסכת אורז ודבש של Beauty of Joseon – תמונה 4,,,,
beauty-of-joseon-ground-rice-and-honey-glow-mask,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/71-TQkPmuQL._SL1500.jpg?v=1770414346,5,מסכת אורז ודבש של Beauty of Joseon – תמונה 5,,,,
medicube-pdrn-pink-peptide-serum,סרום PDRN Pink Peptide — Medicube,"<div dir=""rtl"" style=""text-align:right;direction:rtl;line-height:1.7"">
<p><strong>Medicube PDRN Pink Peptide הוא סרום פנים לשגרת לחות, גמישות ומראה אחיד יותר של העור.</strong></p>
<p>הפורמולה משלבת PDRN, פפטידים ורכיבי טיפוח נוספים כגון חומצה היאלורונית ו-CoQ10. המרקם קל ומתאים לשילוב בשגרת בוקר או ערב.</p>
<h3>מה אפשר לצפות מסרום קוסמטי?</h3>
<ul>
<li>תוספת לחות וטיפוח כחלק משגרה עקבית.</li>
<li>תמיכה במראה עור חלק, רך ורענן יותר.</li>
<li>פורמט סרום קל לשילוב לפני קרם לחות.</li>
</ul>
<h3>חשוב לדעת</h3>
<p>התוצאה משתנה בין משתמשות ומוצר קוסמטי אינו יכול להבטיח חידוש תאים, טיפול בפיגמנטציה או תוצאה בפרק זמן קבוע. בבוקר מומלץ להשלים את השגרה עם מקדם הגנה.</p>
</div>",AsiaBeautyMall,Skin Care,Serum,"AsiaBeautyMall, Shopify Collective",TRUE,Title,Default Title,,,,,Shopify-8800256108053,227,shopify,0,deny,manual,45.82,,TRUE,TRUE,8800256108053,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/medicube-salmon-dna-pdrn-pink-peptide-serum-30ml-152781-482468.jpg?v=1787671367,1,סרום PDRN Pink Peptide של Medicube,FALSE,Medicube PDRN Pink Peptide | סרום פנים קוריאני,"סרום פנים Medicube PDRN Pink Peptide עם PDRN, פפטידים ורכיבי לחות, לשילוב בשגרת טיפוח K-Beauty בבוקר או בערב.",active
medicube-pdrn-pink-peptide-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/615DOoCI6xL._SL1500.jpg?v=1770414858,2,סרום PDRN Pink Peptide של Medicube – תמונה 2,,,,
medicube-pdrn-pink-peptide-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/716TUWUX3dL._SL1500.jpg?v=1770414859,3,סרום PDRN Pink Peptide של Medicube – תמונה 3,,,,
medicube-pdrn-pink-peptide-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/71WC9CYimNL._SL1500.jpg?v=1770414859,4,סרום PDRN Pink Peptide של Medicube – תמונה 4,,,,
medicube-pdrn-pink-peptide-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/710kL-WuBCL._SL1500.jpg?v=1770414858,5,סרום PDRN Pink Peptide של Medicube – תמונה 5,,,,
